Time	Open	High	Low	Close	Volume
2024-01-24 22:00:00	1.08925	1.08932	1.08813	1.08883	10228	3
2024-01-24 23:00:00	1.08882	1.08905	1.08791	1.088	12666	2
2024-01-25 00:00:00	1.08799	1.08852	1.08776	1.08844	3377	2
2024-01-25 01:00:00	1.08843	1.08861	1.08811	1.08851	4116	23
2024-01-25 02:00:00	1.08851	1.08861	1.0881	1.0881	1842	7
2024-01-25 03:00:00	1.08811	1.08812	1.08722	1.08742	7444	3
2024-01-25 04:00:00	1.08742	1.08786	1.08702	1.08775	10263	2
2024-01-25 05:00:00	1.08777	1.08798	1.08749	1.08772	5799	2
2024-01-25 06:00:00	1.08772	1.08818	1.08772	1.08778	4193	3
2024-01-25 07:00:00	1.08777	1.08812	1.08744	1.08754	3760	3
2024-01-25 08:00:00	1.08754	1.08788	1.08748	1.08781	3633	4
2024-01-25 09:00:00	1.08781	1.08865	1.08757	1.0886	4765	4
2024-01-25 10:00:00	1.0886	1.08913	1.0884	1.08878	8387	3
2024-01-25 11:00:00	1.08877	1.08996	1.08828	1.08988	14825	2
2024-01-25 12:00:00	1.08988	1.08996	1.08917	1.08959	18070	4
2024-01-25 13:00:00	1.08958	1.08987	1.08919	1.08929	11418	2
2024-01-25 14:00:00	1.0893	1.08951	1.08866	1.08948	8649	3
2024-01-25 15:00:00	1.08949	1.08956	1.08856	1.08881	8486	3
2024-01-25 16:00:00	1.08882	1.09018	1.08668	1.08792	61564	2
2024-01-25 17:00:00	1.08792	1.08792	1.0853	1.086	55388	3
2024-01-25 18:00:00	1.086	1.08613	1.08293	1.08317	44695	3
2024-01-25 19:00:00	1.08316	1.08396	1.08242	1.08362	20720	2
2024-01-25 20:00:00	1.08363	1.08519	1.08312	1.08375	19418	2
2024-01-25 21:00:00	1.08375	1.08467	1.083	1.08301	20334	3
2024-01-25 22:00:00	1.08301	1.08376	1.08216	1.08359	15917	2
2024-01-25 23:00:00	1.08358	1.08404	1.08334	1.08397	7657	2
2024-01-26 00:00:00	1.08398	1.08479	1.0839	1.0846	3296	2
2024-01-26 01:00:00	1.08449	1.08477	1.08436	1.08464	2953	25
2024-01-26 02:00:00	1.08462	1.08475	1.08426	1.08454	2440	9
2024-01-26 03:00:00	1.08455	1.08459	1.08373	1.08398	7590	2
2024-01-26 04:00:00	1.08399	1.08466	1.08391	1.08443	8271	3
2024-01-26 05:00:00	1.08444	1.08488	1.08438	1.08441	6066	3
2024-01-26 06:00:00	1.08441	1.08475	1.0844	1.08449	3613	2
2024-01-26 07:00:00	1.08449	1.08449	1.08379	1.08395	4012	3
2024-01-26 08:00:00	1.08395	1.08437	1.08383	1.08424	6383	3
2024-01-26 09:00:00	1.08423	1.08427	1.08285	1.08293	8515	3
